username,text,likes,timestamp,tweet_hashtags/0,sentiment
@MichaelDaGaymer,bought sd card nintendo wii amazon came mail today store games sd card cant wait go use amazon amazonprime sdcard gay gayguy gaypride pride prideshirt lgbtqia lgbt lgbtq queer onlineshopping,3,2023-08-31 22:34:00+00:00,#Amazon,positive
@TheQueerNotion,week queer notion furiously licking sandpaper theetrashcan last series read today thequeernotioncompostfuri trans queerart publication art writing queerpoetry lgbt lgbtq,1,2023-08-31 21:29:00+00:00,#queer,neutral
@TrevorLeWoof,please look designs lgbtteescreatorspringcom like anything see click link bio buy tee mug etc help us many thanks x lgbt lgbtiq lesbian gay bisexual transgender intersex queer allies,2,2023-08-31 21:22:00+00:00,#lgbt,positive
@KevinandTrevor,please look designs lgbtteescreatorspringcom like anything see click link bio buy tee mug etc help us many thanks x lgbt lgbtiq lesbian gay bisexual transgender intersex queer allies,9,2023-08-31 21:22:00+00:00,#lgbt,positive
@UUOttawa,bless us queer lesbian gay trans bi nonbinary beyond lead path spirit may every lgbtq person doubts deserve spiritual community find home spirit celebration e nguyen crumpler grair uu,2,2023-08-31 20:48:00+00:00,#queer,positive
@Foxybelleafriq,thursday get ready raise spirits eyebrows thursday 9pm frankiespubnyc dirty mantinis drag king variety show drink specials night cover doors 8 shows 9pm drag dragking dragshow shows queer whattodonyc,1,2023-08-31 20:41:00+00:00,#drag,negative
@KellyFarmerAuth,adding really want chat queer joy happiness podcasts sapphic sapphicbooks lgbtq,1,2023-08-31 20:30:00+00:00,#queer,positive
@edmonton_eulers,hes another random nhl twitter guy know bc likes carly rae jepsen queer,1,2023-08-31 20:26:00+00:00,#queer,negative
@Dr_ADJ_Gonzalez,im elated serve developing editor jqtsie amazing colleagues advancing queer trans efforts research teaching service thank opportunity,67,2023-08-31 20:26:00+00:00,#queer,positive
@NationalNOW,stats video australia message universal dragqueen story time opens kids eyes world diverse reflective reality offers queer kids opportunity see,20,2023-08-31 20:17:00+00:00,#DragQueen,positive
@caelum1infernum,qc community weekly contest 51 caelum1infernum hive queercoin queer qccommunity,6,2023-08-31 20:08:00+00:00,#Hive,neutral
@AfricanaEconomy,ep2 seasons diverse economies youth podcast host serena talks dise member dr sara shroff africanaeconomicscomdefys2 economics socialeconomy queer queerness utsc uoft feministeconomics dise finance lgbtq lgbt,1,2023-08-31 19:48:00+00:00,#economics,neutral
@shaggyjebus,want know queer anime characters heres l g b q lgbtqia lgbt anime queer trans nonbinary vidpuffyanusrygx8jiekosils2q,0,2023-08-31 19:01:00+00:00,#LGBTQIA,negative
@juno2go,18 years since first came trans 18 years masking beaten suicidal etc finally im start medical transition transition hrt queer transgirl,1,2023-08-31 18:56:00+00:00,#transition,positive
@MsRaYche_P,appreciate brandan thank support bigotry blood queer lgbtqia spotifyforartists,2,2023-08-31 18:53:00+00:00,#bigotry,neutral
@DCBanfieldOnAir,lots people toronto told wished queer spaces didnt revolved around alcohol went mission see could find boxing nights beach days city much offer read queer nowtorontocomfeaturedquee,3,2023-08-31 18:48:00+00:00,#Toronto,positive
@micropolystream,going live twitch micropolyphony dead daylight survivor killer twitch deadbydaylight smallstreamer ps4 ps4live gaming dbd horror survivor stream twitchaffiliate twitchtv playstation queer lgbtq music piano sweden,7,2023-08-31 17:59:00+00:00,#Twitch,negative
@amphibifrens,amphibifrens sticker packs badges available sticker packs 350 badges 150 3 shipping fee uk dm interested purchasing art artist artwork frog frogs frogart artforsale prints printartist lgbt lgbtq queer queerartist artoftheday,2,2023-08-31 17:50:00+00:00,#art,positive
@amphibifrens,pacalolo stickers available 250 3 7 3 shipping fee uk dm interested purchasing art artist artwork frog frogs frogart artforsale prints printartist lgbt lgbtq queer queerartist artoftheday like follow,2,2023-08-31 17:46:00+00:00,#art,positive
@caelum1infernum,ecencycomhive117084quee new weekly contest qc community hive queercoin queer qccommunity,9,2023-08-31 17:45:00+00:00,#Hive,positive
@amphibifrens,sourdough frog prints available postcard a5 a4 a3 sizes postcard 2 3 5 a5 5 a4 750 a3 10 3 shipping fee uk dm interested purchasing art artist artwork frog frogs frogart artforsale prints printartist lgbt lgbtq queer,3,2023-08-31 17:44:00+00:00,#art,positive
@DrakiErik,pride flag shark stickers used nurse shark drew back make pride prideflag shark stickers queer lgbtqia merch,1,2023-08-31 17:42:00+00:00,#pride,neutral
@amphibifrens,ice creeeam prints available postcard a5 a4 a3 sizes postcard 2 3 5 a5 5 a4 750 a3 10 3 shipping fee uk dm interested purchasing art artist artwork frog frogs frogart artforsale prints printartist lgbt lgbtq queer,2,2023-08-31 17:42:00+00:00,#art,positive
@waifumonsta,go username waifumonsta bc felt ambiguous sexualitygender life shunned like loki repurposed insult monster became waifumonsta lgbtq queer equality going away,7,2023-08-31 17:39:00+00:00,#LGBTQ,positive
@DrakiErik,pride flag shark stickers used nurse shark drew back make prideflag pride shark stickers lgbtqia queer,0,2023-08-31 17:35:00+00:00,#prideflag,neutral
@zacharysergi,dream booktour one nightmare supernatural horror queer youngadult spookyseason book tinyghostpress see thread specific events head zacharysergicompersonalin,11,2023-08-31 17:12:00+00:00,#BookTour,positive
