username,text,likes,timestamp,tweet_hashtags/0,sentiment,polarity,subjectivity,neg,neu,pos,punct,tokenized,nonstop,stemmed
@MichaelDaGaymer,bought sd card nintendo wii amazon came mail today store games sd card cant wait go use amazon amazonprime sdcard gay gayguy gaypride pride prideshirt lgbtqia lgbt lgbtq queer onlineshopping,3,2023-08-31 22:34:00+00:00,#Amazon,positive,0.4166666666666667,0.5833333333333334,0.0,0.823,0.177,bought sd card nintendo wii amazon came mail today store games sd card cant wait go use amazon amazonprime sdcard gay gayguy gaypride pride prideshirt lgbtqia lgbt lgbtq queer onlineshopping,"['bought', 'sd', 'card', 'nintendo', 'wii', 'amazon', 'came', 'mail', 'today', 'store', 'games', 'sd', 'card', 'cant', 'wait', 'go', 'use', 'amazon', 'amazonprime', 'sdcard', 'gay', 'gayguy', 'gaypride', 'pride', 'prideshirt', 'lgbtqia', 'lgbt', 'lgbtq', 'queer', 'onlineshopping']","['bought', 'sd', 'card', 'nintendo', 'wii', 'amazon', 'came', 'mail', 'today', 'store', 'games', 'sd', 'card', 'cant', 'wait', 'go', 'use', 'amazon', 'amazonprime', 'sdcard', 'gay', 'gayguy', 'gaypride', 'pride', 'prideshirt', 'lgbtqia', 'lgbt', 'lgbtq', 'queer', 'onlineshopping']","['bought', 'sd', 'card', 'nintendo', 'wii', 'amazon', 'came', 'mail', 'today', 'store', 'game', 'sd', 'card', 'cant', 'wait', 'go', 'use', 'amazon', 'amazonprim', 'sdcard', 'gay', 'gayguy', 'gayprid', 'pride', 'prideshirt', 'lgbtqia', 'lgbt', 'lgbtq', 'queer', 'onlineshop']"
@TheQueerNotion,week queer notion furiously licking sandpaper theetrashcan last series read today thequeernotioncompostfuri trans queerart publication art writing queerpoetry lgbt lgbtq,1,2023-08-31 21:29:00+00:00,#queer,negative,0.0,0.06666666666666667,0.132,0.868,0.0,week queer notion furiously licking sandpaper theetrashcan last series read today thequeernotioncompostfuri trans queerart publication art writing queerpoetry lgbt lgbtq,"['week', 'queer', 'notion', 'furiously', 'licking', 'sandpaper', 'theetrashcan', 'last', 'series', 'read', 'today', 'thequeernotioncompostfuri', 'trans', 'queerart', 'publication', 'art', 'writing', 'queerpoetry', 'lgbt', 'lgbtq']","['week', 'queer', 'notion', 'furiously', 'licking', 'sandpaper', 'theetrashcan', 'last', 'series', 'read', 'today', 'thequeernotioncompostfuri', 'trans', 'queerart', 'publication', 'art', 'writing', 'queerpoetry', 'lgbt', 'lgbtq']","['week', 'queer', 'notion', 'furious', 'lick', 'sandpap', 'theetrashcan', 'last', 'seri', 'read', 'today', 'thequeernotioncompostfuri', 'tran', 'queerart', 'public', 'art', 'write', 'queerpoetri', 'lgbt', 'lgbtq']"
@TrevorLeWoof,please look designs lgbtteescreatorspringcom like anything see click link bio buy tee mug etc help us many thanks x lgbt lgbtiq lesbian gay bisexual transgender intersex queer allies,2,2023-08-31 21:22:00+00:00,#lgbt,positive,0.37222222222222223,0.42777777777777776,0.0,0.689,0.311,please look designs lgbtteescreatorspringcom like anything see click link bio buy tee mug etc help us many thanks x lgbt lgbtiq lesbian gay bisexual transgender intersex queer allies,"['please', 'look', 'designs', 'lgbtteescreatorspringcom', 'like', 'anything', 'see', 'click', 'link', 'bio', 'buy', 'tee', 'mug', 'etc', 'help', 'us', 'many', 'thanks', 'x', 'lgbt', 'lgbtiq', 'lesbian', 'gay', 'bisexual', 'transgender', 'intersex', 'queer', 'allies']","['please', 'look', 'designs', 'lgbtteescreatorspringcom', 'like', 'anything', 'see', 'click', 'link', 'bio', 'buy', 'tee', 'mug', 'etc', 'help', 'us', 'many', 'thanks', 'x', 'lgbt', 'lgbtiq', 'lesbian', 'gay', 'bisexual', 'transgender', 'intersex', 'queer', 'allies']","['pleas', 'look', 'design', 'lgbtteescreatorspringcom', 'like', 'anyth', 'see', 'click', 'link', 'bio', 'buy', 'tee', 'mug', 'etc', 'help', 'us', 'mani', 'thank', 'x', 'lgbt', 'lgbtiq', 'lesbian', 'gay', 'bisexu', 'transgend', 'intersex', 'queer', 'alli']"
@KevinandTrevor,please look designs lgbtteescreatorspringcom like anything see click link bio buy tee mug etc help us many thanks x lgbt lgbtiq lesbian gay bisexual transgender intersex queer allies,9,2023-08-31 21:22:00+00:00,#lgbt,positive,0.37222222222222223,0.42777777777777776,0.0,0.689,0.311,please look designs lgbtteescreatorspringcom like anything see click link bio buy tee mug etc help us many thanks x lgbt lgbtiq lesbian gay bisexual transgender intersex queer allies,"['please', 'look', 'designs', 'lgbtteescreatorspringcom', 'like', 'anything', 'see', 'click', 'link', 'bio', 'buy', 'tee', 'mug', 'etc', 'help', 'us', 'many', 'thanks', 'x', 'lgbt', 'lgbtiq', 'lesbian', 'gay', 'bisexual', 'transgender', 'intersex', 'queer', 'allies']","['please', 'look', 'designs', 'lgbtteescreatorspringcom', 'like', 'anything', 'see', 'click', 'link', 'bio', 'buy', 'tee', 'mug', 'etc', 'help', 'us', 'many', 'thanks', 'x', 'lgbt', 'lgbtiq', 'lesbian', 'gay', 'bisexual', 'transgender', 'intersex', 'queer', 'allies']","['pleas', 'look', 'design', 'lgbtteescreatorspringcom', 'like', 'anyth', 'see', 'click', 'link', 'bio', 'buy', 'tee', 'mug', 'etc', 'help', 'us', 'mani', 'thank', 'x', 'lgbt', 'lgbtiq', 'lesbian', 'gay', 'bisexu', 'transgend', 'intersex', 'queer', 'alli']"
@UUOttawa,bless us queer lesbian gay trans bi nonbinary beyond lead path spirit may every lgbtq person doubts deserve spiritual community find home spirit celebration e nguyen crumpler grair uu,2,2023-08-31 20:48:00+00:00,#queer,positive,0.20833333333333334,0.35833333333333334,0.068,0.741,0.191,bless us queer lesbian gay trans bi nonbinary beyond lead path spirit may every lgbtq person doubts deserve spiritual community find home spirit celebration e nguyen crumpler grair uu,"['bless', 'us', 'queer', 'lesbian', 'gay', 'trans', 'bi', 'nonbinary', 'beyond', 'lead', 'path', 'spirit', 'may', 'every', 'lgbtq', 'person', 'doubts', 'deserve', 'spiritual', 'community', 'find', 'home', 'spirit', 'celebration', 'e', 'nguyen', 'crumpler', 'grair', 'uu']","['bless', 'us', 'queer', 'lesbian', 'gay', 'trans', 'bi', 'nonbinary', 'beyond', 'lead', 'path', 'spirit', 'may', 'every', 'lgbtq', 'person', 'doubts', 'deserve', 'spiritual', 'community', 'find', 'home', 'spirit', 'celebration', 'e', 'nguyen', 'crumpler', 'grair', 'uu']","['bless', 'us', 'queer', 'lesbian', 'gay', 'tran', 'bi', 'nonbinari', 'beyond', 'lead', 'path', 'spirit', 'may', 'everi', 'lgbtq', 'person', 'doubt', 'deserv', 'spiritu', 'commun', 'find', 'home', 'spirit', 'celebr', 'e', 'nguyen', 'crumpler', 'grair', 'uu']"
@Foxybelleafriq,thursday get ready raise spirits eyebrows thursday 9pm frankiespubnyc dirty mantinis drag king variety show drink specials night cover doors 8 shows 9pm drag dragking dragshow shows queer whattodonyc,1,2023-08-31 20:41:00+00:00,#drag,negative,-0.15,0.36041666666666666,0.202,0.723,0.075,thursday get ready raise spirits eyebrows thursday pm frankiespubnyc dirty mantinis drag king variety show drink specials night cover doors 8 shows pm drag dragking dragshow shows queer whattodonyc,"['thursday', 'get', 'ready', 'raise', 'spirits', 'eyebrows', 'thursday', 'pm', 'frankiespubnyc', 'dirty', 'mantinis', 'drag', 'king', 'variety', 'show', 'drink', 'specials', 'night', 'cover', 'doors', '8', 'shows', 'pm', 'drag', 'dragking', 'dragshow', 'shows', 'queer', 'whattodonyc']","['thursday', 'get', 'ready', 'raise', 'spirits', 'eyebrows', 'thursday', 'pm', 'frankiespubnyc', 'dirty', 'mantinis', 'drag', 'king', 'variety', 'show', 'drink', 'specials', 'night', 'cover', 'doors', '8', 'shows', 'pm', 'drag', 'dragking', 'dragshow', 'shows', 'queer', 'whattodonyc']","['thursday', 'get', 'readi', 'rais', 'spirit', 'eyebrow', 'thursday', 'pm', 'frankiespubnyc', 'dirti', 'mantini', 'drag', 'king', 'varieti', 'show', 'drink', 'special', 'night', 'cover', 'door', '8', 'show', 'pm', 'drag', 'dragk', 'dragshow', 'show', 'queer', 'whattodonyc']"
@KellyFarmerAuth,adding really want chat queer joy happiness podcasts sapphic sapphicbooks lgbtq,1,2023-08-31 20:30:00+00:00,#queer,positive,0.5666666666666667,0.20000000000000004,0.0,0.471,0.529,adding really want chat queer joy happiness podcasts sapphic sapphicbooks lgbtq,"['adding', 'really', 'want', 'chat', 'queer', 'joy', 'happiness', 'podcasts', 'sapphic', 'sapphicbooks', 'lgbtq']","['adding', 'really', 'want', 'chat', 'queer', 'joy', 'happiness', 'podcasts', 'sapphic', 'sapphicbooks', 'lgbtq']","['ad', 'realli', 'want', 'chat', 'queer', 'joy', 'happi', 'podcast', 'sapphic', 'sapphicbook', 'lgbtq']"
@edmonton_eulers,hes another random nhl twitter guy know bc likes carly rae jepsen queer,1,2023-08-31 20:26:00+00:00,#queer,positive,-0.5,0.5,0.0,0.811,0.189,hes another random nhl twitter guy know bc likes carly rae jepsen queer,"['hes', 'another', 'random', 'nhl', 'twitter', 'guy', 'know', 'bc', 'likes', 'carly', 'rae', 'jepsen', 'queer']","['hes', 'another', 'random', 'nhl', 'twitter', 'guy', 'know', 'bc', 'likes', 'carly', 'rae', 'jepsen', 'queer']","['he', 'anoth', 'random', 'nhl', 'twitter', 'guy', 'know', 'bc', 'like', 'carli', 'rae', 'jepsen', 'queer']"
@Dr_ADJ_Gonzalez,im elated serve developing editor jqtsie amazing colleagues advancing queer trans efforts research teaching service thank opportunity,67,2023-08-31 20:26:00+00:00,#queer,positive,0.6000000000000001,0.9,0.0,0.494,0.506,im elated serve developing editor jqtsie amazing colleagues advancing queer trans efforts research teaching service thank opportunity,"['im', 'elated', 'serve', 'developing', 'editor', 'jqtsie', 'amazing', 'colleagues', 'advancing', 'queer', 'trans', 'efforts', 'research', 'teaching', 'service', 'thank', 'opportunity']","['im', 'elated', 'serve', 'developing', 'editor', 'jqtsie', 'amazing', 'colleagues', 'advancing', 'queer', 'trans', 'efforts', 'research', 'teaching', 'service', 'thank', 'opportunity']","['im', 'elat', 'serv', 'develop', 'editor', 'jqtsie', 'amaz', 'colleagu', 'advanc', 'queer', 'tran', 'effort', 'research', 'teach', 'servic', 'thank', 'opportun']"
@NationalNOW,stats video australia message universal dragqueen story time opens kids eyes world diverse reflective reality offers queer kids opportunity see,20,2023-08-31 20:17:00+00:00,#DragQueen,positive,0.05,0.0,0.0,0.872,0.128,stats video australia message universal dragqueen story time opens kids eyes world diverse reflective reality offers queer kids opportunity see,"['stats', 'video', 'australia', 'message', 'universal', 'dragqueen', 'story', 'time', 'opens', 'kids', 'eyes', 'world', 'diverse', 'reflective', 'reality', 'offers', 'queer', 'kids', 'opportunity', 'see']","['stats', 'video', 'australia', 'message', 'universal', 'dragqueen', 'story', 'time', 'opens', 'kids', 'eyes', 'world', 'diverse', 'reflective', 'reality', 'offers', 'queer', 'kids', 'opportunity', 'see']","['stat', 'video', 'australia', 'messag', 'univers', 'dragqueen', 'stori', 'time', 'open', 'kid', 'eye', 'world', 'divers', 'reflect', 'realiti', 'offer', 'queer', 'kid', 'opportun', 'see']"
@caelum1infernum,qc community weekly contest 51 caelum1infernum hive queercoin queer qccommunity,6,2023-08-31 20:08:00+00:00,#Hive,neutral,0.0,0.0,0.0,1.0,0.0,qc community weekly contest 51 caelum1infernum hive queercoin queer qccommunity,"['qc', 'community', 'weekly', 'contest', '51', 'caelum1infernum', 'hive', 'queercoin', 'queer', 'qccommunity']","['qc', 'community', 'weekly', 'contest', '51', 'caelum1infernum', 'hive', 'queercoin', 'queer', 'qccommunity']","['qc', 'commun', 'weekli', 'contest', '51', 'caelum1infernum', 'hive', 'queercoin', 'queer', 'qccommun']"
